euid,eusub,stage,year,month,day,type,ctgy,seg1,seg2,seg3,seg4,seg5,seg6,seg7,seg8,seg9,seg10,seg11,seg12,seg13,seg14,seg15,seg16,seg17,seg18,seg19,seg20,seg21,seg22,seg23,seg24,seg25,seg26,seg27,seg28,seg29,seg30,seg31,seg32,seg33,seg34,seg35,seg36,seg37,seg38,seg39,seg40,seg41,seg42,seg43,seg44,seg45,seg46,seg47,seg48,source,update_date
0300111010602104070633,-,5,2024,9,13,1,3,0.900000,1.100000,1.000000,1.100000,1.200000,1.000000,0.900000,0.800000,0.700000,0.600000,0.400000,0.300000,0.500000,0.500000,0.700000,0.800000,0.900000,0.900000,0.800000,1.000000,1.100000,1.100000,1.200000,1.300000,1.400000,1.300000,1.300000,1.300000,1.100000,1.100000,1.200000,1.100000,1.200000,1.100000,0.400000,0.100000,0.200000,0.200000,0.100000,0.200000,0.100000,0.200000,0.100000,0.100000,0.200000,0.100000,0.200000,0.500000,W51220202410170000000.zip,"2024-10-16 21:03:03"
0300111010602104070633,-,5,2024,9,14,1,3,0.800000,1.100000,1.000000,1.100000,0.900000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.700000,1.000000,1.000000,0.900000,0.800000,1.000000,0.900000,1.000000,1.000000,1.100000,1.200000,1.200000,1.200000,1.100000,1.200000,1.200000,1.200000,1.300000,1.200000,1.200000,1.000000,1.100000,1.000000,0.100000,0.100000,0.100000,0.200000,0.100000,0.100000,0.200000,0.100000,0.100000,0.100000,0.200000,0.100000,0.500000,W51220202410170000000.zip,"2024-10-16 21:03:03"
0300111010602104070633,-,5,2024,9,15,1,3,0.800000,1.000000,1.000000,1.100000,0.900000,0.400000,0.300000,0.300000,0.300000,0.300000,0.700000,0.600000,0.500000,0.600000,0.500000,0.600000,0.500000,0.500000,0.400000,0.500000,0.500000,0.100000,0.100000,0.200000,0.100000,0.100000,0.100000,0.200000,0.100000,0.200000,0.100000,0.800000,0.300000,0.100000,0.200000,0.100000,0.100000,0.100000,0.200000,0.100000,0.100000,0.200000,0.100000,0.100000,0.100000,0.200000,0.100000,0.500000,W51220202410170000000.zip,"2024-10-16 21:03:03"
0300111010602104070633,-,5,2024,9,16,1,3,1.200000,1.000000,1.000000,1.100000,1.100000,0.900000,0.800000,0.800000,0.500000,0.300000,0.300000,0.600000,0.500000,0.500000,0.500000,0.500000,0.400000,0.400000,0.400000,0.400000,0.200000,0.200000,0.100000,0.100000,0.200000,0.100000,0.200000,0.100000,0.200000,0.100000,0.200000,0.100000,0.100000,0.200000,0.100000,0.100000,0.200000,0.100000,0.200000,0.100000,0.200000,0.100000,0.100000,0.200000,0.100000,0.200000,0.100000,0.400000,W51220202410170000000.zip,"2024-10-16 21:03:03"
0300111010602104070633,-,5,2024,9,17,1,3,0.700000,1.000000,1.000000,1.000000,1.000000,0.800000,0.700000,0.700000,0.600000,0.400000,0.400000,0.300000,0.300000,0.300000,0.600000,0.700000,0.600000,0.700000,0.700000,0.900000,1.200000,1.200000,1.300000,1.200000,1.200000,1.300000,1.200000,1.100000,1.200000,1.200000,1.100000,1.100000,1.100000,0.900000,0.800000,0.700000,0.200000,0.100000,0.100000,0.200000,0.100000,0.100000,0.200000,0.100000,0.100000,0.100000,0.200000,0.500000,W51220202410170000000.zip,"2024-10-16 21:03:03"
0300111010602104070633,-,5,2024,9,18,1,3,0.800000,1.000000,1.100000,1.000000,1.200000,0.500000,0.400000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.900000,0.500000,0.600000,0.500000,1.000000,0.900000,1.200000,1.300000,1.300000,1.300000,1.300000,1.200000,1.100000,1.200000,1.100000,1.200000,1.300000,1.200000,1.200000,1.000000,0.700000,0.200000,0.100000,0.200000,0.100000,0.200000,0.100000,0.100000,0.200000,0.100000,0.200000,0.100000,0.200000,0.100000,0.400000,W51220202410170000000.zip,"2024-10-16 21:03:03"
0300111010602104070633,-,5,2024,9,19,1,3,0.700000,1.000000,1.000000,1.000000,0.800000,0.400000,0.400000,0.300000,0.400000,0.300000,0.300000,0.300000,0.800000,0.700000,0.600000,0.700000,0.600000,0.600000,0.800000,0.900000,0.800000,0.900000,1.000000,1.000000,0.900000,0.900000,0.900000,1.000000,1.000000,0.900000,0.900000,0.900000,0.900000,0.800000,0.200000,0.100000,0.100000,0.200000,0.100000,0.200000,0.200000,0.100000,0.200000,0.200000,0.100000,0.200000,0.200000,0.500000,W51220202410170000000.zip,"2024-10-16 21:03:03"
0300111010602104070633,-,5,2024,9,20,1,3,0.800000,0.900000,1.000000,1.000000,0.800000,0.300000,0.400000,0.300000,0.300000,0.400000,0.400000,0.500000,0.600000,0.700000,0.500000,0.500000,0.600000,0.600000,0.600000,0.700000,1.100000,1.200000,1.200000,1.100000,0.900000,1.000000,1.000000,1.000000,1.000000,1.200000,1.000000,1.100000,1.000000,0.600000,0.300000,0.200000,0.300000,0.200000,0.100000,0.200000,0.100000,0.100000,0.100000,0.200000,0.100000,0.100000,0.200000,0.500000,W51220202410170000000.zip,"2024-10-16 21:03:03"
0300111010602104070633,-,5,2024,9,21,1,3,0.800000,1.100000,1.000000,1.100000,0.900000,0.400000,0.300000,0.300000,0.300000,0.300000,0.300000,0.600000,0.600000,0.600000,0.500000,0.500000,0.600000,0.500000,0.600000,0.700000,1.200000,1.100000,1.100000,1.100000,1.000000,1.100000,1.000000,1.100000,0.900000,0.800000,0.800000,0.800000,0.800000,0.600000,0.600000,0.300000,0.100000,0.100000,0.200000,0.100000,0.100000,0.200000,0.100000,0.100000,0.100000,0.200000,0.100000,0.300000,W51220202410170000000.zip,"2024-10-16 21:03:03"
0300111010602104070633,-,5,2024,9,22,1,3,0.600000,0.800000,0.800000,0.900000,0.900000,0.900000,0.300000,0.400000,0.300000,0.300000,0.300000,0.300000,0.400000,0.500000,0.400000,0.400000,0.300000,0.300000,0.200000,0.300000,0.100000,0.200000,0.100000,0.200000,0.100000,0.100000,0.200000,0.100000,0.200000,0.100000,0.200000,0.100000,0.200000,0.100000,0.200000,0.100000,0.100000,0.100000,0.200000,0.100000,0.100000,0.200000,0.100000,0.100000,0.100000,0.200000,0.100000,0.200000,W51220202410170000000.zip,"2024-10-16 21:03:03"
